:ID|name:STRING|GO:STRING[]
AT5G03500|AT5G03500|GO:0003712,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0006357,GO:0006357,GO:0016592,GO:0016592,GO:0070847,GO:0016592,GO:0005515,GO:0009704,GO:0051510,GO:0051510
AT3G54840|ARA6|GO:0003924,GO:0003924,GO:0005525,GO:0005768,GO:0006886,GO:0009507,GO:0012505,GO:0030139,GO:0003924,GO:0005769,GO:0005769,GO:0010009,GO:0045022,GO:0005515,GO:0005769,GO:0005768,GO:0005829,GO:0005515
AT1G02930|GSTF6|GO:0004364,GO:0004364,GO:0004364,GO:0005737,GO:0006749,GO:0009507,GO:0009507,GO:0043295,GO:0005737,GO:0009407,GO:0005739,GO:0005739,GO:0043295,GO:0000325,GO:0009505,GO:0005507,GO:0046686,GO:0050897,GO:0009506,GO:2001147,GO:2001227,GO:0005829,GO:0005576,GO:0010494,GO:0009414,GO:0006979
AT4G23450|AIRP1|GO:0004842,GO:0005634,GO:0005634,GO:0005737,GO:0005737,GO:0005737,GO:0005737,GO:0005829,GO:0004842,GO:0004842,GO:0004842,GO:0005737,GO:0005829,GO:0009414,GO:0009737,GO:0009789,GO:0009789,GO:0010729,GO:0010729,GO:0005515
AT4G26270|PFK3|GO:0003872,GO:0005737,GO:0005737,GO:0006002,GO:0003872,GO:0005829,GO:0006096,GO:0010053,GO:0071456
AT2G47620|SWI3A|GO:0003674,GO:0005634,GO:0005634,GO:0006338,GO:0016514,GO:0006281,GO:0009416,GO:0009648,GO:0009793,GO:0009892,GO:0009909,GO:0010228,GO:0010468,GO:0018205,GO:0031047,GO:0033036,GO:0040029,GO:0048229,GO:0048366,GO:0048507,GO:0048580,GO:0051252,GO:0051641,GO:0070828
AT1G16060|ADAP|GO:0003700,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0006355,GO:0003700,GO:0005634,GO:0003700,GO:0009414,GO:0009651,GO:0009737,GO:0010187,GO:0040008,GO:0000981,GO:0045723,GO:0045723,GO:1901959,GO:0006355,GO:0003677
AT4G32470|AT4G32470|GO:0003674,GO:0005739,GO:0005739,GO:0005750,GO:0005750,GO:0006122,GO:0006122,GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0000325,GO:0000325,GO:0005750,GO:0005739,GO:0005886
AT2G47770|TSPO|GO:0005739,GO:0005783,GO:0005795,GO:0006970,GO:0009651,GO:0009737,GO:0016020,GO:0005783,GO:0005794,GO:0006778,GO:0020037
AT3G53630|GIP1|GO:0005634,GO:0005515,GO:0005515,GO:0005829,GO:0009507,GO:0009628,GO:0009941,GO:0009941
AT1G10360|GSTU18|GO:0004364,GO:0004364,GO:0005737,GO:0005737,GO:0006749,GO:0006749,GO:0005737,GO:0009407
AT3G26020|PP2AB'ETA|GO:0000159,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005737,GO:0005737,GO:0005737,GO:0007165,GO:0019888,GO:0005634,GO:0005730,GO:0005829,GO:0005515,GO:0005515,GO:0005737,GO:0000398,GO:0034605
AT3G56320|NTP7|GO:0003674,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0009755,GO:0048367,GO:0071396,GO:1901701
AT1G14740|TTA1|GO:0005634,GO:0005634,GO:0010071,GO:0010078,GO:0010468,GO:0010492,GO:0005515,GO:0005515,GO:0001708,GO:0009880,GO:0090421
AT3G29320|PHS1|GO:0005737,GO:0005980,GO:0008184,GO:0008184,GO:0009507,GO:0016757,GO:0030170,GO:0030170,GO:0102250,GO:0102499,GO:0004645,GO:0009414,GO:0009536,GO:0009570,GO:0009266,GO:0009507,GO:0009570,GO:0009570,GO:0005829,GO:0009507,GO:0005829
AT1G17280|AT1G17280|GO:0000209,GO:0005634,GO:0016567,GO:0030433,GO:0061631,GO:0061631,GO:0004842,GO:0006511,GO:0005515,GO:0005783,GO:0042631,GO:1902457
AT4G25440|ZFWD1|GO:0003674,GO:0005634,GO:0005634,GO:0005634,GO:0050793
